6100,mirada de desprecio,contempt,,,,Spanish,look of contempt
6101,media sonrisa,contempt,,,,Spanish,half smile
6102,desprecio cara,contempt,,,,Spanish,contempt face
6103,desprecio cara mujer,contempt,female,,,Spanish,contempt face of a woman
6104,desprecio cara hombre,contempt,male,,,Spanish,contempt face of a man
6105,desprecio cara nino,contempt,male,young,,Spanish,contempt face of a child
6106,desprecio cara nina,contempt,female,young,,Spanish,contempt face of a girl
6107,desprecio cara bebe,contempt,,baby,,Spanish,contempt face of a baby
6108,cara de rechazo,contempt,,,,Spanish,rejection face
6109,cara de rechazo mujer,contempt,female,,,Spanish,rejection face of a woman
6110,cara de rechazo nina,contempt,female,young,,Spanish,rejection face of a girl
6111,cara de altivez,contempt,,,,Spanish,face of haughtiness
6112,cara de arrogante,contempt,,,,Spanish,face of arrogance
6113,cara de arrogancia,contempt,,,,Spanish,face of arrogance
6114,cara de desden,contempt,,,,Spanish,disdain face
6115,cara de soberbia,contempt,,,,Spanish,face of pride
6116,cara de soberbio,contempt,,,,Spanish,face of pride (male)
6117,cara de desaire,contempt,,,,Spanish,snub face
